rom_path,crc,header_mapper,header_submapper,mapper,submapper,mapper_source,has_autorun,is_valid,parse_error
0/Duck Hunt (JUE) [p2].nes,0F263E59,0,,0,0,rom_db_override,0,1,
0/Duck Hunt (JUE).nes,24598791,0,,0,0,rom_db_override,0,1,
0/Duck Hunt (PC10).nes,24598791,0,,0,0,rom_db_override,0,1,
"0/Duel, The by Bokudono (PD).nes",59854AF9,0,,0,,header,0,1,
0/EDS Mario V0.24 (SMB1 Hack).nes,22A38A8B,0,,0,,header,0,1,
0/Elevator Action (J) [p1].nes,6104C630,0,,0,0,rom_db_override,0,1,
0/Elevator Action (U).nes,2AC87283,0,,0,0,rom_db_override,0,1,
0/Elf Kong (Donkey Kong Hack).nes,40BB2BC8,0,,0,,header,0,1,
0/EraserHead (SMB1 Hack).nes,B81E574D,0,,0,0,rom_db_override,0,1,
0/Evil Mario (SMB1 Hack).nes,87FFD6E3,0,,0,,header,0,1,
0/Excitebike (ASCII Chinese) (Excitebike Hack).nes,BE922BE0,0,,0,,header,0,1,
0/Excitebike (E).nes,8A0C7337,0,,0,0,rom_db_override,0,1,
0/Excitebike (JU) [T-Port].nes,4B44207E,0,,0,,header,0,1,
0/Excitebike (JU) [p1].nes,9DA2A676,0,,0,0,rom_db_override,0,1,
0/Excitebike (JU).nes,49AEB3A6,0,,0,0,rom_db_override,0,1,
0/Excitebike (PC10).nes,49AEB3A6,0,,0,0,rom_db_override,0,1,
0/Excitebike Buggy (Hack).nes,B332BB4E,0,,0,,header,0,1,
0/Exed Exes (J) [p1].nes,22A711C6,0,,0,0,rom_db_override,0,1,
0/Exerion (J) [p1].nes,60E5BC39,0,,0,0,rom_db_override,0,1,
0/F-1 Race (J) [p1].nes,F6C7BE70,0,,0,0,rom_db_override,0,1,
0/Facemaker (Dr. PC. Jr.) (Chinese).nes,8CEFAF82,1,,0,0,rom_db_override,0,1,
0/Fade to Black by Frederik Schultz & Morgan Johansson (PD).nes,91D65805,0,,0,,header,0,1,
0/Family Computer - Othello (J) [p1].nes,744C93AE,0,,0,0,rom_db_override,0,1,
0/Field Combat (J) [p1].nes,A6C19E16,0,,0,0,rom_db_override,0,1,
0/Final Fantasy Mario (Final) (SMB1 Hack).nes,7D129BD3,0,,0,,header,0,1,
0/Final Fantasy Mario (Mario Bros Hack).nes,E0968949,0,,0,,header,0,1,
